Source,Target,Type,Id,Label,timeset,Weight
21,26,Undirected,524,,,2
26,33,Undirected,526,,,2
33,56,Undirected,528,,,3
33,67,Undirected,529,,,1
56,82,Undirected,530,,,2
56,90,Undirected,531,,,1
56,94,Undirected,532,,,1
56,117,Undirected,533,,,2
56,137,Undirected,534,,,2
56,56,Undirected,536,,,1
14,57,Undirected,543,,,1
14,62,Undirected,544,,,1
57,57,Undirected,546,,,1
6,10,Undirected,551,,,1
10,58,Undirected,553,,,1
10,117,Undirected,554,,,1
58,58,Undirected,556,,,1
21,22,Undirected,573,,,1
22,25,Undirected,575,,,1
22,60,Undirected,576,,,1
26,27,Undirected,579,,,1
27,32,Undirected,581,,,1
27,60,Undirected,582,,,1
32,33,Undirected,583,,,3
32,60,Undirected,584,,,1
33,34,Undirected,585,,,3
34,36,Undirected,587,,,1
34,60,Undirected,588,,,1
36,37,Undirected,589,,,1
36,60,Undirected,590,,,1
37,38,Undirected,591,,,2
38,42,Undirected,593,,,1
38,60,Undirected,594,,,1
42,55,Undirected,595,,,1
42,60,Undirected,596,,,1
55,61,Undirected,598,,,1
34,62,Undirected,604,,,1
57,63,Undirected,612,,,1
14,64,Undirected,615,,,1
14,82,Undirected,616,,,2
64,64,Undirected,618,,,1
34,37,Undirected,641,,,1
38,55,Undirected,645,,,1
55,66,Undirected,648,,,1
6,83,Undirected,654,,,1
67,93,Undirected,655,,,1
67,137,Undirected,656,,,2
67,67,Undirected,658,,,1
24,25,Undirected,665,,,1
25,30,Undirected,667,,,1
31,35,Undirected,671,,,4
35,40,Undirected,673,,,1
35,67,Undirected,674,,,1
40,52,Undirected,675,,,1
40,67,Undirected,676,,,1
52,53,Undirected,677,,,1
52,67,Undirected,678,,,1
53,54,Undirected,679,,,1
53,67,Undirected,680,,,1
54,55,Undirected,681,,,1
54,67,Undirected,682,,,1
55,56,Undirected,683,,,3
56,69,Undirected,686,,,1
24,72,Undirected,690,,,1
35,52,Undirected,703,,,1
52,55,Undirected,705,,,1
55,73,Undirected,708,,,1
14,196,Undirected,712,,,2
74,74,Undirected,714,,,1
14,117,Undirected,718,,,1
75,154,Undirected,719,,,3
75,166,Undirected,720,,,1
75,204,Undirected,721,,,2
75,291,Undirected,722,,,2
75,351,Undirected,723,,,2
75,75,Undirected,725,,,1
30,77,Undirected,731,,,1
14,92,Undirected,737,,,1
82,124,Undirected,738,,,3
82,144,Undirected,739,,,2
82,82,Undirected,741,,,1
56,64,Undirected,746,,,1
64,83,Undirected,748,,,1
64,137,Undirected,749,,,1
83,154,Undirected,750,,,1
83,83,Undirected,752,,,1
67,85,Undirected,760,,,1
42,88,Undirected,766,,,1
26,32,Undirected,781,,,2
56,92,Undirected,787,,,1
56,124,Undirected,788,,,1
92,92,Undirected,790,,,1
82,93,Undirected,798,,,1
14,28,Undirected,801,,,1
28,30,Undirected,803,,,1
28,93,Undirected,804,,,1
67,94,Undirected,810,,,1
56,95,Undirected,826,,,1
35,100,Undirected,836,,,1
24,103,Undirected,840,,,1
108,108,Undirected,844,,,1
109,109,Undirected,848,,,1
10,14,Undirected,853,,,1
14,115,Undirected,856,,,1
24,56,Undirected,863,,,1
56,58,Undirected,865,,,1
58,75,Undirected,867,,,1
58,117,Undirected,868,,,1
75,121,Undirected,870,,,1
108,124,Undirected,873,,,1
108,144,Undirected,874,,,1
124,145,Undirected,875,,,2
124,287,Undirected,876,,,3
124,322,Undirected,877,,,2
124,387,Undirected,878,,,2
124,392,Undirected,879,,,2
124,124,Undirected,881,,,1
82,92,Undirected,886,,,1
92,125,Undirected,889,,,1
3,127,Undirected,891,,,1
137,167,Undirected,894,,,3
137,372,Undirected,895,,,1
137,137,Undirected,897,,,1
14,29,Undirected,900,,,1
29,55,Undirected,902,,,1
29,137,Undirected,903,,,1
56,67,Undirected,906,,,1
